ID,Должность,Возраст,Опыт_лет,Город,Образование,Уровень,Отрасль,Язык_программирования,Уровень_английского,Количество_проектов,Зарплата_тыс
837,DevOps Engineer,25,1.9,Волгоград,Магистр,Junior,Телеком,JavaScript,A1,2,162.9
838,QA Engineer,25,5.6,Новосибирск,Бакалавр,Middle,Телеком,Java,B1,6,228.1
839,QA Engineer,48,19.7,Воронеж,PhD,Architect,Медицина,Ruby,A1,17,600.0
840,Full Stack Developer,28,4.1,Уфа,PhD,Middle,Телеком,C#,B2,6,286.8
841,Cloud Architect,43,15.0,Москва,Магистр,Lead,Финтех,PHP,B1,15,600.0
842,Frontend Developer,41,15.8,Уфа,Среднее,Lead,Телеком,Go,B2,12,600.0
843,Data Scientist,38,13.1,Нижний Новгород,Бакалавр,Lead,Ритейл,C#,C1,10,600.0
844,Software Engineer,40,16.3,Пермь,Магистр,Architect,IT,Go,A1,14,600.0
845,Security Engineer,32,9.3,Воронеж,Магистр,Senior,Промышленность,Kotlin,B1,8,600.0
846,Machine Learning Engineer,22,3.6,Пермь,Среднее,Junior,Ритейл,Go,B2,2,160.4
847,Product Manager,22,2.3,Уфа,Магистр,Junior,Промышленность,C++,C2,1,206.3
848,Cloud Architect,33,7.7,Краснодар,Бакалавр,Middle,Образование,C++,C2,10,364.7
849,Frontend Developer,24,1.8,Пермь,MBA,Junior,Медицина,Ruby,B1,3,170.5
850,Cloud Architect,45,15.6,Воронеж,Бакалавр,Lead,Медицина,Kotlin,C2,15,600.0
851,Data Analyst,24,2.8,Воронеж,Среднее,Junior,Медицина,Java,B2,5,100.7
852,Cloud Architect,19,1.9,Новосибирск,Магистр,Junior,Телеком,JavaScript,A1,1,228.3
853,System Administrator,45,18.9,Уфа,MBA,Architect,IT,Ruby,C1,19,600.0
854,Backend Developer,43,16.2,Екатеринбург,Среднее,Architect,Промышленность,JavaScript,B2,15,600.0
855,Project Manager,39,14.2,Волгоград,MBA,Lead,Образование,Swift,B2,15,600.0
856,Full Stack Developer,39,15.4,Ростов-на-Дону,Бакалавр,Lead,E-commerce,Ruby,A1,12,600.0
857,Product Manager,37,11.3,Пермь,Магистр,Senior,Госсектор,Python,C1,13,600.0
858,Data Analyst,30,6.1,Санкт-Петербург,Магистр,Middle,E-commerce,Swift,C1,8,241.2
859,DevOps Engineer,30,7.5,Воронеж,Магистр,Middle,Медицина,Kotlin,A1,6,328.5
860,Frontend Developer,40,13.8,Самара,Магистр,Lead,Медицина,C#,A1,11,600.0
861,Frontend Developer,34,9.7,Нижний Новгород,PhD,Senior,Медицина,PHP,B2,9,559.5
862,Cloud Architect,28,7.8,Самара,Бакалавр,Middle,Медицина,C#,C2,6,370.7
863,Project Manager,25,5.5,Самара,Магистр,Middle,Медицина,Ruby,C1,7,383.0
864,Frontend Developer,26,6.6,Пермь,MBA,Middle,Образование,C#,A2,7,341.8
865,Software Engineer,26,1.7,Ростов-на-Дону,Бакалавр,Junior,Ритейл,Python,A2,1,135.3
866,Frontend Developer,32,11.0,Ростов-на-Дону,Магистр,Senior,IT,C#,A1,12,512.1
867,Backend Developer,32,8.4,Воронеж,PhD,Senior,Ритейл,Swift,C2,9,539.8
868,Data Analyst,36,13.0,Уфа,MBA,Lead,Госсектор,Java,C2,11,600.0
869,Product Manager,47,15.3,Новосибирск,PhD,Lead,Финтех,Swift,B1,15,600.0
870,DevOps Engineer,40,16.8,Москва,Бакалавр,Architect,Госсектор,Go,C1,14,600.0
871,System Administrator,30,6.1,Казань,Магистр,Middle,Медицина,PHP,C1,5,292.5
872,System Administrator,29,11.3,Пермь,Магистр,Senior,E-commerce,C#,B1,12,499.3
873,QA Engineer,22,4.9,Санкт-Петербург,Магистр,Middle,E-commerce,Kotlin,C1,4,262.2
874,Machine Learning Engineer,32,8.5,Новосибирск,Среднее,Senior,Медицина,Ruby,A2,10,444.0
875,Full Stack Developer,27,4.7,Краснодар,Магистр,Middle,Медицина,Java,C1,6,299.9
876,System Administrator,42,16.3,Краснодар,Магистр,Architect,Образование,Go,C2,16,600.0
877,Full Stack Developer,32,4.2,Самара,Среднее,Middle,E-commerce,Go,A1,4,282.0
878,Full Stack Developer,43,12.0,Пермь,PhD,Senior,Образование,Python,C2,9,600.0
879,System Administrator,37,15.0,Казань,PhD,Lead,E-commerce,JavaScript,A2,15,600.0
880,QA Engineer,43,17.0,Пермь,Магистр,Architect,E-commerce,Python,C2,14,600.0
881,Software Engineer,40,13.5,Уфа,Бакалавр,Lead,Ритейл,PHP,B2,11,600.0
882,Full Stack Developer,30,9.9,Санкт-Петербург,Бакалавр,Senior,E-commerce,Ruby,C2,9,466.6
883,Product Manager,30,10.3,Новосибирск,Бакалавр,Senior,Медицина,Go,A2,10,597.0
884,Backend Developer,30,6.9,Нижний Новгород,Бакалавр,Middle,Образование,Kotlin,B1,8,255.7
885,Python Developer,24,1.0,Казань,Бакалавр,Junior,Образование,Ruby,C2,3,103.4
886,Software Engineer,27,5.9,Самара,Бакалавр,Middle,E-commerce,Java,C1,8,290.7
887,Cloud Architect,26,2.2,Уфа,Магистр,Junior,Финтех,C++,B2,2,298.3
888,DevOps Engineer,34,10.4,Нижний Новгород,Бакалавр,Senior,Промышленность,Ruby,A2,11,467.7
889,Data Analyst,29,6.0,Пермь,Магистр,Middle,Медицина,Python,A1,6,257.2
890,Frontend Developer,39,15.3,Казань,Магистр,Lead,E-commerce,Go,A1,13,600.0
891,Product Manager,34,13.3,Екатеринбург,Магистр,Lead,Финтех,Python,A1,14,600.0
892,DevOps Engineer,28,5.2,Нижний Новгород,Магистр,Middle,Телеком,C#,A1,5,327.3
893,Python Developer,35,14.0,Краснодар,Среднее,Lead,Промышленность,Swift,C2,14,600.0
894,Security Engineer,41,12.5,Краснодар,Бакалавр,Lead,IT,JavaScript,C1,12,600.0
895,System Administrator,32,9.1,Уфа,Среднее,Senior,Медицина,Swift,B2,10,358.9
896,Security Engineer,42,16.7,Москва,Бакалавр,Architect,Телеком,PHP,C2,13,600.0
897,Frontend Developer,46,18.9,Ростов-на-Дону,Магистр,Architect,Госсектор,PHP,B2,17,600.0
898,QA Engineer,31,8.8,Казань,Бакалавр,Senior,Ритейл,Swift,B1,9,365.6
899,Software Engineer,31,3.6,Нижний Новгород,Бакалавр,Junior,Госсектор,C++,A2,5,182.7
900,Data Scientist,32,13.0,Нижний Новгород,Бакалавр,Lead,Образование,Ruby,B1,14,600.0
901,Cloud Architect,40,19.7,Самара,Среднее,Architect,Госсектор,C++,A2,19,600.0
902,Frontend Developer,31,4.7,Волгоград,Магистр,Middle,IT,Swift,A1,7,268.3
903,Frontend Developer,34,10.9,Волгоград,Магистр,Senior,Медицина,Go,C2,8,544.6
904,Python Developer,39,11.3,Уфа,Бакалавр,Senior,E-commerce,Swift,A1,11,462.3
905,Product Manager,29,13.9,Пермь,Магистр,Lead,Образование,Ruby,B2,14,600.0
906,Frontend Developer,44,15.9,Санкт-Петербург,Магистр,Lead,Госсектор,Python,A1,16,600.0
907,Python Developer,31,10.9,Москва,Магистр,Senior,IT,Swift,B1,8,538.7
908,System Administrator,26,2.3,Краснодар,Магистр,Junior,Медицина,Java,B2,3,171.4
909,DevOps Engineer,25,2.5,Екатеринбург,Бакалавр,Junior,Госсектор,Ruby,A2,5,179.0
910,Machine Learning Engineer,47,16.7,Уфа,Магистр,Architect,Образование,Kotlin,A1,16,600.0
911,Backend Developer,37,8.8,Санкт-Петербург,Магистр,Senior,Промышленность,C++,A2,10,488.4
912,QA Engineer,31,6.5,Уфа,Магистр,Middle,Телеком,PHP,B2,9,255.2
913,Backend Developer,27,5.4,Нижний Новгород,Бакалавр,Middle,E-commerce,C#,B1,8,309.4
914,Data Analyst,41,14.9,Москва,Бакалавр,Lead,Образование,JavaScript,B1,15,600.0
915,Software Engineer,28,8.3,Пермь,Бакалавр,Senior,Ритейл,Swift,B2,10,460.6
916,Project Manager,46,16.4,Санкт-Петербург,Бакалавр,Architect,Промышленность,Ruby,C2,14,600.0
917,Python Developer,40,16.1,Москва,Магистр,Architect,Промышленность,Ruby,B1,15,600.0
918,Security Engineer,34,8.3,Москва,Бакалавр,Senior,Госсектор,Ruby,C1,6,508.9
919,System Administrator,44,14.5,Краснодар,Бакалавр,Lead,Медицина,C#,B2,14,600.0
920,QA Engineer,46,15.6,Самара,Бакалавр,Lead,Образование,Kotlin,A2,15,600.0
921,QA Engineer,32,10.5,Самара,Бакалавр,Senior,Финтех,Ruby,A1,9,418.2
922,QA Engineer,37,16.5,Казань,Бакалавр,Architect,Финтех,Python,B2,13,600.0
923,Software Engineer,24,2.6,Воронеж,MBA,Junior,Промышленность,Kotlin,A1,6,252.3
924,Python Developer,24,3.1,Новосибирск,Магистр,Junior,Образование,C#,B2,2,141.3
925,QA Engineer,35,12.0,Волгоград,Бакалавр,Lead,IT,C#,A1,11,600.0
926,Software Engineer,49,16.7,Екатеринбург,Бакалавр,Architect,E-commerce,PHP,B2,15,600.0
927,Security Engineer,35,11.6,Нижний Новгород,Бакалавр,Senior,E-commerce,Java,C2,10,533.7
928,Machine Learning Engineer,35,11.9,Волгоград,Магистр,Senior,E-commerce,Go,C2,11,600.0
929,DevOps Engineer,36,10.9,Самара,Бакалавр,Senior,E-commerce,Swift,A1,11,491.5
930,Machine Learning Engineer,38,15.3,Санкт-Петербург,Бакалавр,Lead,Госсектор,C#,B2,14,600.0
931,Machine Learning Engineer,33,10.5,Уфа,Бакалавр,Senior,Телеком,Swift,B1,12,526.4
932,Cloud Architect,44,17.6,Екатеринбург,Бакалавр,Architect,Телеком,Swift,C2,16,600.0
933,System Administrator,37,10.4,Самара,Среднее,Senior,Финтех,C#,C1,10,520.4
934,QA Engineer,36,13.7,Екатеринбург,Бакалавр,Lead,Госсектор,PHP,A1,13,600.0
935,System Administrator,35,10.5,Екатеринбург,Магистр,Senior,Финтех,PHP,A2,11,494.5
936,System Administrator,52,19.4,Екатеринбург,Магистр,Architect,IT,C++,A1,17,600.0
937,Cloud Architect,27,5.5,Екатеринбург,Магистр,Middle,Образование,Ruby,B1,4,459.2
938,Backend Developer,41,14.4,Волгоград,Бакалавр,Lead,Медицина,PHP,B1,11,600.0
939,Data Scientist,37,12.5,Нижний Новгород,Среднее,Lead,Промышленность,Ruby,A2,12,600.0
940,Cloud Architect,37,14.1,Санкт-Петербург,Бакалавр,Lead,Госсектор,C#,C2,15,600.0
941,Security Engineer,32,7.2,Ростов-на-Дону,Бакалавр,Middle,Образование,C++,A1,7,319.7
942,Backend Developer,41,17.2,Пермь,Бакалавр,Architect,Госсектор,Kotlin,A1,17,600.0
943,Data Analyst,39,14.8,Санкт-Петербург,Магистр,Lead,Образование,Java,A2,14,600.0
944,QA Engineer,34,11.8,Воронеж,Магистр,Senior,Финтех,Java,C2,10,481.9
945,System Administrator,23,6.3,Краснодар,PhD,Middle,Образование,Kotlin,A2,7,331.9
946,Frontend Developer,34,11.8,Екатеринбург,Бакалавр,Senior,Промышленность,Go,A1,11,518.2
947,Full Stack Developer,19,0.9,Москва,Бакалавр,Junior,Образование,Go,C2,0,176.3
948,DevOps Engineer,23,4.4,Волгоград,Магистр,Middle,E-commerce,Ruby,C1,4,314.6
949,Data Scientist,34,5.7,Пермь,Магистр,Middle,Образование,Swift,C1,4,404.7
950,Product Manager,35,11.4,Волгоград,Бакалавр,Senior,Госсектор,Go,A1,9,600.0
951,Frontend Developer,38,14.1,Санкт-Петербург,Магистр,Lead,Образование,Swift,A2,14,600.0
952,Security Engineer,36,6.7,Казань,Бакалавр,Middle,IT,Kotlin,A1,9,290.0
953,Python Developer,30,7.2,Волгоград,MBA,Middle,Телеком,C++,C1,7,409.3
954,Backend Developer,42,14.6,Самара,PhD,Lead,E-commerce,JavaScript,C1,11,600.0
955,Data Analyst,33,3.6,Воронеж,Магистр,Junior,Образование,Go,B2,6,159.7
956,Python Developer,35,10.2,Пермь,Магистр,Senior,IT,Go,C2,9,583.4
957,Frontend Developer,45,19.0,Волгоград,Магистр,Architect,Медицина,Python,A1,16,600.0
958,QA Engineer,34,13.0,Самара,Бакалавр,Lead,Финтех,Go,C1,12,600.0
959,Frontend Developer,29,7.5,Волгоград,Бакалавр,Middle,E-commerce,Swift,B1,5,264.4
960,DevOps Engineer,29,7.2,Уфа,Бакалавр,Middle,E-commerce,Kotlin,B2,6,262.8
961,Cloud Architect,35,14.2,Самара,PhD,Lead,Образование,C++,C2,12,600.0
962,Data Scientist,37,11.9,Уфа,Среднее,Senior,IT,Kotlin,B2,10,521.9
963,Project Manager,31,6.6,Самара,Магистр,Middle,Образование,Kotlin,B1,5,340.4
964,Backend Developer,28,7.1,Уфа,Бакалавр,Middle,Госсектор,Kotlin,A2,9,284.6
965,Data Scientist,29,8.2,Краснодар,Бакалавр,Senior,Промышленность,Swift,B2,8,449.7
966,System Administrator,21,4.9,Уфа,Бакалавр,Middle,IT,Ruby,A2,4,228.3
967,System Administrator,29,5.3,Волгоград,Бакалавр,Middle,Образование,Java,A1,8,238.8
968,Machine Learning Engineer,34,11.5,Казань,Среднее,Senior,Финтех,PHP,B1,13,600.0
969,Cloud Architect,28,6.2,Новосибирск,PhD,Middle,Промышленность,Java,A2,5,456.2
970,Data Analyst,31,10.3,Краснодар,Магистр,Senior,Образование,Python,C1,10,567.3
971,Frontend Developer,27,6.1,Краснодар,PhD,Middle,E-commerce,C#,B2,5,312.1
972,Data Scientist,31,5.8,Пермь,Магистр,Middle,IT,Kotlin,C1,4,345.0
973,Product Manager,33,8.2,Пермь,Магистр,Senior,Телеком,C++,A2,10,600.0
974,DevOps Engineer,28,6.9,Санкт-Петербург,Среднее,Middle,E-commerce,Kotlin,A2,7,271.4
975,Python Developer,41,16.8,Уфа,Магистр,Architect,Медицина,Java,B1,14,600.0
976,DevOps Engineer,21,2.7,Пермь,Магистр,Junior,IT,Go,C2,4,192.4
977,Security Engineer,26,7.4,Нижний Новгород,Бакалавр,Middle,Образование,JavaScript,C1,6,319.3
978,Machine Learning Engineer,30,5.8,Казань,Магистр,Middle,Промышленность,PHP,C2,8,353.0
979,Data Analyst,26,4.5,Новосибирск,Магистр,Middle,Финтех,C#,C2,6,237.9
980,Full Stack Developer,30,10.4,Самара,Среднее,Senior,Госсектор,Swift,C1,11,463.2
981,Security Engineer,27,6.5,Новосибирск,Магистр,Middle,IT,Go,B2,8,379.3
982,Python Developer,29,4.3,Воронеж,MBA,Middle,Промышленность,JavaScript,B1,3,336.4
983,Full Stack Developer,21,1.4,Воронеж,PhD,Junior,Промышленность,Swift,C1,2,225.8
984,Machine Learning Engineer,30,10.9,Пермь,Бакалавр,Senior,Ритейл,Python,C1,11,599.9
985,QA Engineer,36,8.9,Санкт-Петербург,Среднее,Senior,Ритейл,C++,C1,7,352.7
986,Security Engineer,36,14.4,Ростов-на-Дону,Магистр,Lead,Медицина,JavaScript,C2,14,600.0
987,Software Engineer,43,15.9,Санкт-Петербург,Магистр,Lead,Промышленность,PHP,C2,15,600.0
988,Project Manager,30,6.2,Самара,Магистр,Middle,Образование,C++,C1,5,365.4
989,Security Engineer,34,9.8,Самара,Магистр,Senior,Госсектор,Python,C1,10,600.0
990,Frontend Developer,25,1.5,Екатеринбург,Бакалавр,Junior,Образование,Kotlin,C2,3,120.4
991,Cloud Architect,28,2.8,Нижний Новгород,Среднее,Junior,Образование,Ruby,A1,5,173.4
992,Product Manager,35,11.7,Москва,Бакалавр,Senior,Ритейл,C#,A1,13,578.8
993,Backend Developer,37,16.2,Ростов-на-Дону,Бакалавр,Architect,E-commerce,Kotlin,A2,15,600.0
994,Backend Developer,25,4.6,Москва,Бакалавр,Middle,Промышленность,PHP,A2,3,263.3
995,Data Scientist,33,11.5,Воронеж,Бакалавр,Senior,Финтех,PHP,A2,13,558.1
996,DevOps Engineer,27,2.5,Новосибирск,Среднее,Junior,Образование,Swift,C2,4,164.8
997,QA Engineer,47,18.4,Нижний Новгород,Бакалавр,Architect,Промышленность,PHP,A1,17,600.0
998,Machine Learning Engineer,32,9.7,Уфа,Бакалавр,Senior,IT,C#,A1,8,510.5
999,System Administrator,38,12.9,Краснодар,PhD,Lead,Финтех,Python,A1,13,600.0
1000,Full Stack Developer,48,19.1,Волгоград,Среднее,Architect,Промышленность,Python,B2,19,600.0
